PECHANGARE,Pechanga Reservation,33.440311,-117.048007
PENOBSCOTR,Penobscot Reservation,45.089789,-68.657654
PICAYUNERA,Picayune Rancheria,37.212017,-119.695550
PICURISPUE,Picuris Pueblo,36.200284,-105.709467
PINERIDGER,Pine Ridge Reservation,43.344998,-102.081863
PINOLEVILL,Pinoleville Rancheria,39.180186,-123.217796
PLEASANTPO,Pleasant Point Reservation,44.954930,-67.043085
POARCHCREE,Poarch Creek Reservation,31.105934,-87.564654
POKAGONRES,Pokagon Reservation,41.777084,-86.714602
PORTGAMBLE,Port Gamble Reservation,47.847956,-122.558103
PORTMADISO,Port Madison Reservation,47.737985,-122.553366
PRAIRIEBAN,Prairie Band of Potawatomi Nation Reservation,39.347301,-95.839787
PRAIRIEISL,Prairie Island Indian Community,44.635306,-92.656503
PUEBLODECO,Pueblo de Cochiti,35.610330,-106.314852
PUEBLOOFPO,Pueblo of Pojoaque,35.886285,-106.027451
PUYALLUPRE,Puyallup Reservation,47.244820,-122.369614
PYRAMIDLAK,Pyramid Lake Paiute Reservation,39.979932,-119.502185
QUALLABOUN,Qualla Boundary,35.536443,-83.247811
QUARTZVALL,Quartz Valley Reservation,41.611483,-122.972359
QUILEUTERE,Quileute Reservation,47.906498,-124.622368
QUINAULTRE,Quinault Reservation,47.419180,-124.140366
RAMONAVILL,Ramona Village,33.606358,-116.702938
REDCLIFFRE,Red Cliff Reservation,46.910061,-90.787441
REDDINGRAN,Redding Rancheria,40.510129,-122.384573
REDLAKE,Red Lake Reservation,48.143123,-95.163146
REDWOODVAL,Redwood Valley Rancheria,39.290186,-123.179714
RENOSPARKS,Reno-Sparks Indian Colony,39.710729,-119.760466
RESIGHINIR,Resighini Rancheria,41.514513,-124.016625
RINCONRESE,Rincon Reservation,33.264549,-116.956150
ROARINGCRE,Roaring Creek Rancheria,40.893312,-121.953475
ROBINSONRA,Robinson Rancheria,39.139922,-122.880654
ROCKYBOYSR,Rocky Boy's Reservation,48.210417,-109.769017
ROSEBUDIND,Rosebud Indian Reservation,43.209638,-100.707883
ROUNDVALLE,Round Valley Reservation,39.864220,-123.188371
RUMSEYINDI,Rumsey Indian Rancheria,38.738079,-122.132463
SACANDFOXM,Sac and Fox/Meskwaki Settlement,41.980417,-92.649537
SACANDFOXN,Sac and Fox Nation Reservation,40.009482,-95.513078
SALTRIVERR,Salt River Reservation,33.522201,-111.798109
SANCARLOSR,San Carlos Reservation,33.316371,-110.193494
